CPM,CHANNEL_NAME,DATE,VIEWS
5.0,A117_SportMotion,2025-10-24,
15.0,A1BOUTIQUE,2025-11-04,
8.0,A1BOUTIQUE,2025-12-01,
4.81,A4omg,2025-10-08,
2.5,ABTOvaib,2025-12-09,
2.5,ABTOvaib,2025-12-09,
2.04,ABTOvaib,2025-12-09,
4.24,ABTOvaib,2025-12-13,
2.1,ABTOvaib,2025-12-13,
2.1,ABTOvaib,2025-12-13,
5.0,ACT_Russia,2025-07-17,
12.15,ACT_Russia,2025-09-20,
3.13,ACT_Russia,2025-11-18,
3.13,ACT_Russia,2025-11-18,
3.13,ACT_Russia,2025-11-18,
3.13,ACT_Russia,2025-11-18,
26.66,ADILKATRADER,2025-06-26,
26.66,ADILKATRADER,2025-06-26,
27.17,ADILKATRADER,2025-08-03,
2.8,ADILKATRADER,2025-11-17,
15.0,ADILKATRADER,2025-11-21,
21.0,ADILKATRADER,2025-11-21,
15.75,ADILKATRADER,2025-11-22,
6.75,ADILKATRADER,2025-11-22,
20.0,ADILKATRADER,2025-11-22,
19.15,ADILKATRADER,2025-11-25,
38.15,ADILKATRADER,2025-12-02,
2.6,AETclub,2025-09-09,
1.8,AETclub,2025-09-17,
5.0,AETclub,2025-11-13,
5.0,AETclub,2025-11-13,
5.0,AETclub,2025-11-13,
2.0,AETclub,2025-12-01,
4.0,AETemp,2025-11-28,
2.0,AETemp,2025-11-28,
6.71,AETemp,2025-11-28,
13.91,AIConcentrate,2025-11-18,
2.5,AIConcentrate,2025-11-28,
30.8,AIGamzatov,2025-10-20,
13.17,AIGamzatov,2025-10-27,
2.2,AION_RU,2025-09-23,
2.2,AION_RU,2025-09-23,
3.0,AION_RU,2025-10-01,
3.0,AION_RU,2025-10-08,
5.0,AION_RU,2025-11-07,
2.0,AK47pfl,2025-09-23,
4.01,AK47pfl,2025-09-30,
16.01,AK47pfl,2025-11-02,
17.0,AK47pfl,2025-11-13,
4.65,ALEXAROZEN,2025-11-01,
5.7,ALLA_SOOUL,2025-12-02,
4.12,ALROSADIAMONDS,2025-10-20,
2.42,ALROSADIAMONDS,2025-10-22,
4.0,ALiFe_Investment,2025-05-30,
2.0,AMADEO_SARTO_optom,2025-09-05,
5.59,AMarkets_Trading_Ideas,2025-09-19,
4.94,AMarkets_Trading_Ideas,2025-09-19,
20.41,AMarkets_Trading_Ideas,2025-09-23,
30.32,AMarkets_Trading_Ideas,2025-09-23,
25.75,AMarkets_Trading_Ideas,2025-10-06,
12.69,AMarkets_Trading_Ideas,2025-11-17,
11.0,ANMariiaTarasova,2025-09-24,
4.4,ANMariiaTarasova,2025-09-24,
2.3,ANMariiaTarasova,2025-12-04,
3.0,ANNENKOV_ideas_and_books,2025-11-14,
1.8,APKimport,2025-07-25,
3.0,APKimport,2025-07-25,
3.0,APKimport,2025-07-29,
3.0,APKimport,2025-08-07,
3.0,APKimport,2025-08-07,
3.0,APKimport,2025-08-11,
2.8,APKimport,2025-08-20,
1.8,APKimport,2025-08-22,
3.0,APKimport,2025-08-29,
3.0,APKimport,2025-08-30,
2.01,APKimport,2025-08-31,
1.8,APKimport,2025-08-31,
2.0,APKimport,2025-09-19,
2.7,APKimport,2025-11-26,
2.7,APKimport,2025-11-26,
3.1,APKimport,2025-11-26,
2.9,APKimport,2025-11-26,
2.7,APKimport,2025-11-26,
2.9,APKimport,2025-11-26,
2.9,APKimport,2025-12-02,
2.2,AROMATH,2025-09-11,
7.5,AROMATH,2025-09-16,
19.75,AROMATH,2025-10-02,
12.75,AROMATH,2025-10-08,
5.5,AROMATH,2025-11-26,
3.0,ARauto_19,2025-08-07,
3.0,ARauto_19,2025-08-12,
2.8,ARauto_19,2025-08-20,
3.0,ARauto_19,2025-08-22,
3.0,ARauto_19,2025-08-30,
1.8,ASP_Avto,2025-08-07,
1.8,ASP_Avto,2025-08-07,
1.8,ASP_Avto,2025-08-12,
3.0,ASP_Avto,2025-08-29,
1.8,ASP_Avto,2025-08-29,
3.0,ASP_Avto,2025-08-30,
1.8,ASP_Avto,2025-08-30,
1.8,ASP_Avto,2025-09-09,
1.8,ASP_Avto,2025-09-17,
2.2,ASROAD,2025-05-31,
1.8,AS_AUTO_159,2025-08-12,
2.6,AS_AUTO_159,2025-08-29,
1.8,AS_AUTO_159,2025-08-29,
1.8,AS_AUTO_159,2025-08-30,
1.8,AS_AUTO_159,2025-08-30,
1.8,AS_AUTO_159,2025-09-09,
1.8,AS_AUTO_159,2025-09-17,
3.6,ASupersharij,2025-11-15,
3.0,AUTOIMPORT23,2025-08-11,
2.9,AUTOIMPORT23,2025-08-20,
3.0,AUTOIMPORT23,2025-08-22,
3.0,AUTOIMPORT23,2025-08-29,
1.8,AUTOIMPORT23,2025-08-29,
3.0,AUTOIMPORT23,2025-09-09,
1.8,AUTOIMPORT23,2025-09-14,
6.6,AUTOIMPORT23,2025-11-10,
3.0,AUTOTRANSIT_ltd,2025-07-21,
3.0,AUTOTRANSIT_ltd,2025-07-21,
3.0,AUTOTRANSIT_ltd,2025-07-29,
2.8,AUTOTRANSIT_ltd,2025-08-07,
2.8,AUTOTRANSIT_ltd,2025-08-07,
3.0,AUTOTRANSIT_ltd,2025-08-22,
3.0,AUTOTRANSIT_ltd,2025-09-09,
3.0,AUTOTRANSIT_ltd,2025-09-14,
3.0,AUTOUNION_PRO,2025-08-07,
3.7,AUTOXLAMANET74,2025-09-24,
3.0,AUTO_BOSS_Logistics,2025-08-07,
3.0,AUTO_KONSTRUKTOR,2025-09-09,
3.0,AUTO_KONSTRUKTOR,2025-09-14,
2.0,AUTO_KONSTRUKTOR,2025-09-19,
6.9,AUTO_KONSTRUKTOR,2025-10-14,
3.0,AUTO_KONSTRUKTOR,2025-11-10,
2.7,AUTO_KONSTRUKTOR,2025-11-26,
2.7,AUTO_KONSTRUKTOR,2025-11-26,
3.1,AUTO_KONSTRUKTOR,2025-11-26,
2.9,AUTO_KONSTRUKTOR,2025-11-26,
2.7,AUTO_KONSTRUKTOR,2025-11-26,
2.9,AUTO_KONSTRUKTOR,2025-11-26,
4.0,AUTO_KONSTRUKTOR,2025-12-01,
2.9,AUTO_KONSTRUKTOR,2025-12-02,
1.9,AUTO_MARKET_VRN,2025-08-20,
1.8,AUTO_MARKET_VRN,2025-08-29,
3.0,AUTO_MARKET_VRN,2025-09-09,
1.8,AUTO_MARKET_VRN,2025-09-15,
1.8,AUTO_MARKET_VRN,2025-09-17,
3.0,AUTO_SPB_178,2025-08-30,
1.8,AUTO_SPB_178,2025-08-30,
2.6,AUTO_SPB_178,2025-09-09,
1.8,AUTO_SPB_178,2025-09-17,
3.0,AVMRussia,2025-07-29,
3.0,AVMRussia,2025-08-07,
3.0,AVMRussia,2025-08-11,
3.0,AVMRussia,2025-08-22,
1.8,AVMRussia,2025-08-30,
3.0,AVMRussia,2025-09-09,
7.6,AVMRussia,2025-11-10,
2.5,AVTO_PRODAZJA,2025-03-23,
2.5,AVTO_PRODAZJA,2025-03-23,
3.0,AVTO_VblKUP,2025-08-29,
1.8,AVTO_VblKUP,2025-08-29,
1.8,AVTO_VblKUP,2025-09-09,
1.8,AVTO_VblKUP,2025-09-17,
2.0,AV_EGE,2025-11-13,
50.06,AWANTBTC,2025-09-09,
50.17,AWANTBTC,2025-09-09,
3.0,AZS_NFT,2025-08-22,
3.0,AZS_NFT,2025-08-29,
1.8,AZS_NFT,2025-08-30,
1.8,AZS_NFT,2025-08-30,
2.4,A_Rezvyakov,2025-12-04,
7.79,A_Rezvyakov,2025-12-04,
1.8,AbsolutBonds,2025-07-08,
4.0,AbsolutBonds,2025-09-10,
2.2,AbsolutBonds,2025-09-11,
2.75,AbuzikLudit,2025-10-15,
5.0,AcademSpain,2025-02-20,
18.0,Addinfo,2025-09-06,
4.0,Age_of_Crypt,2025-09-19,
8.0,Age_of_Crypt,2025-10-17,
13.2,AiforyPro,2025-09-18,
5.0,AionCL,2025-10-17,
3.0,AionCL,2025-10-19,
3.0,AionCL,2025-10-23,
3.0,AionCL,2025-10-25,
5.0,AionCL,2025-11-07,
5.0,AizekTVx,2025-11-07,
54.05,AkademyMirExpertov,2025-04-24,
7.61,AkilovaDoc,2025-11-17,
6.0,AksesShop13,2025-11-24,
4.0,AksesShop13,2025-11-24,
3.4,Alaska_Brend1,2025-09-11,
1.81,Aleksandra_Oveshkova,2025-11-17,
1.81,Aleksandra_Oveshkova,2025-11-17,
1.81,Aleksandra_Oveshkova,2025-11-19,
1.81,Aleksandra_Oveshkova,2025-11-19,
1.81,Aleksandra_Oveshkova,2025-12-04,
1.81,Aleksandra_Oveshkova,2025-12-04,
1.81,Aleksandra_Oveshkova,2025-12-04,
1.8,Aleksandrvladivostokk,2025-08-07,
1.0,Aleksandrvladivostokk,2025-08-07,
3.0,Aleksandrvladivostokk,2025-08-11,
