,event,text
0,Власти Петербурга согласились передать РПЦ Исаакиевский собор.," В ПЕТЕРБУРГЕ ПРОШЕЛ МИТИНГ ПРОТИВ ПЕРЕДАЧИ ИСААКИЕВСКОГО СОБОРА РПЦ В Санкт-Петербурге люди устроили акцию протеста против передачи Исаакиевского собора в безвозмездное пользование РПЦ. Жители Петербурга собрались на Исаакиевской площади, чтобы высказаться против передачи Исаакиевского собора в безвозмездное пользование РПЦ, передает ТАСС. Акция проходит в формате встречи с депутатами Законодательного собрания города и не требует согласования с властями. Участники акции не используют какую-либо символику и плакаты, а также мегафоны или средства звукоусиления. По словам депутата Алексея Ковалева, на Исаакиевскую площадь пришло примерно тысяча человек. Перед участниками протеста выступили депутаты местного парламента Борис Вишневский и Максим Резник, которые заявили о том, что потребуют отмены решения Смольного. Вишневский сообщил, что акция будет проходить в виде встречи депутатов с избирателями. ""Закон Санкт-Петербурга предоставляет нам право встречаться с избирателями, такую встречу мы и проведем, расскажем, как защищаем их интересы при передаче собора"", - сказал парламентарий. В свою очередь директор музея ""Исаакиевский собор"" Николай Буров проинформировал, что собор в пятницу будет закрыт намного раньше в связи с акцией протеста. Он подчеркнул, что необходимо избежать стычек между сторонниками передачи собора и ее противниками. Ранее стало известно, что собор передадут в безвозмездное пользование на 49 лет Русской православной церкви в лице Московского патриархата, при этом он останется в собственности Петербурга. Тем временем, в Петербурге продолжается сбор подписей под петицией об отмене данного решения, под документом уже поставили подписи более 160 тысяч человек. Комментарии Другие интересные статьи: http://kontrastniy.ru/obshchestvo/838-v-peterburge-proshel-miting-protiv-peredachi-isaakievskogo-sobora-rpts.html"
1,Власти Петербурга согласились передать РПЦ Исаакиевский собор.," Lenta.co, Москва, 14 января 2017 СИТУАЦИЯ С ПЕРЕДАЧЕЙ ИСААКИЕВСКОГО СОБОРА В ВЕДЕНИЕ РПЦ. ИСТОРИЯ СОБОРА Читать оригинал публикации на tvkultura.ru Ссылка на видео: https://player.vgtrk.com/iframe/video/id/1618844/start_zoom/true/showZoomBtn/false/sid/kultura/ Считать храмом Исаакиевский собор, невероятное творение Огюста Монферрана, будет отныне больше оснований. Губернатор Петербурга и Патриарх Московский и всея Руси договорились о том, что собор, принадлежащий городу, будет передан Русской православной церкви. Об этом губернатор Георгий Полтавченко сообщил в начале этой недели. Разговоры о передаче собора РПЦ шли давно, но эта новость все равно произвела сильный эффект. Пара сотен противников решения даже вышла вчера на митинг у собора, а чуть поодаль в те же минут митинговали - за. Один из самых обсуждаемых вопросов - сохранит ли Исаакиевский музей свои прежние возможности в его новом статусе, после передачи его в безвозмездное пользование церкви. Вопрос финансирования тоже придется решать заново. В РПЦ заявили, что не исключают получения от города субсидий на содержание здания. Потом появилась версия о передаче собора только лишь на определенный срок. Временами возникало впечатление, что речь идет не о легендарном Исаакии. А ведь это не просто объект. Разбиралась Надежда Гусарова. С 2010 года, после выхода закона о передаче религиозным организациям религиозного имущества, которое находится в государственной собственности, в Санкт-Петербурге было передано Русской православной церкви 334 объекта. Теперь наступила очередь Исаакиевского собора. Творение Монферрана останется в собственности Петербурга. Церковь получает его в безвозмездное пользование на 49 лет. ""Его юридический статус не меняется. Санкт-Петербург остается собственником этого здания"", - заявил вице-губернатор Санкт-Петербурга Михаил Мокрецов Нынешний Исаакиевский собор - четвертый по счету на этом месте в сердце Петербурга. И вся история храма-музея в его стенах представлена наглядно. От небольшой деревянной церквушки, построенной по приказу Петра I, до грандиозного символа Петербурга, возведенного Огюстом Монферраном. В строительстве, которое длилось 42 года, участвовали около четырехсот тысяч рабочих, многие из которых погибли на стройке века. Так, при золочении куполов собора, 60 человек отравились парами ртути. Зато потомки восхищались смелостью инженерных решений. Например, особой конструкцией купола, собранного из отдельных сфер. ""Я раскопал все данные, связанные со строительством американского Капитолия. И оказалось, что он выполнен практически по чертежам Исаакиевского собора. То есть купол совпадает - кое-где разница примерно на три процента. И они сами были очень удивлены, когда выяснили, что вся их демократия находится под нашей крышей"", - рассказывает хранитель экспозиции музея ""Исаакиевский собор"" Сергей Окунев. Золоченый купол Исаакиевского собора - это еще и памятник мужеству ленинградцев. В блокаду он был хорошей мишенью для немецких бомбардировщиков. Чтобы защитить его, горожане покрывали купол литрами зеленой краски. И хотя стены и колонны были испещрены осколками снарядов и бомб, ни одного прямого попадания в купол и собор не случилось. А до революции, и даже несколько лет после, Исаакий был одним из главных храмов страны. ""Когда Святейший патриарх Тихон после своего избрания в Москве впервые посетил Петроград, это уже была середина 1918 года, и служил в Исаакиевской соборе, на службе его собралось более ста тысяч человек"", - отмечает протоиерей, председатель Отдела по взаимоотношениям Церкви и общества Санкт-Петербургской епархии Александр Пелин. В 1931 году Исаакиевский собор стал музеем. И пока это одно из самых успешных предприятий культуры в стране. Три миллиона туристов приносят ежегодный доход в 800 миллионов рублей. Музей не только сам содержит сотрудников, но и реставрацию проводит на собственные средства. Кстати, именно благодаря высоким экономическим показателям собор не передали РПЦ еще в 2015 году. После решения о передаче, главное, - уже не экономика, а судьба сотрудников музея. ""Все-таки 393 штатных сотрудника, плюс 58 временных летних сотрудников, значит, это порядка 350 семей. Вся эта конструкция, которая благополучно в развитии существовала без малого 90 лет, она, конечно, должна будет претерпеть изменения. И какие они будут я даже сейчас боюсь предполагать"", - говорит директор музей-памятника ""Исаакиевский собор"" Николай Буров. Известие о том, что русская православная церковь получает Исаакиевский собор в безвозмездное пользование на 49 лет всколыхнуло общественность. Доводов за и против предостаточно. Противники передачи говорят, что строился собор на казенные деньги, что даже до революции был под государственным, а не церковным управлением, что церковные службы проходят в музее ежедневно. Сторонники передачи говорят, что храм должен быть в первую очередь храмом, а уж потом музеем. ""Если существовала ситуация, при которой в музее были богослужения, то сейчас при храме будет музейная деятельность"", - прокомментировал председатель Синодального информационного отдела Московского патриархата Владимир Легойда. Нельзя сказать, что передача Исаакия православной церкви поставит на музее крест. Музейная деятельность в соборе продолжится. Неизвестно только на какие средства. Вход в храм будет свободным, а значит деньги на реставрацию и научную работу придется изыскивать в другом месте. Исаакиевский собор будет передан Русской православной церкви Процесс передачи Исаакиевского собора Русской православной церкви займет несколько лет Процесс передачи Исаакиевского собора церкви может затянуться Стали известны детали передачи Исаакиевского собора РПЦ Фото Всего 1 https://lenta.co/situaciya-s-peredachej-isaakievskogo-sobora-v-vedenie-rpc-istoriya-sobora-314061"
2,Власти Петербурга согласились передать РПЦ Исаакиевский собор.," Аргументы и Факты (aif.ru), Москва, 14 января 2017 ОППОЗИЦИЯ ПРОВЕЛА МИТИНГ ПРОТИВ ПЕРЕДАЧИ ИСААКИЕВСКОГО СОБОРА РПЦ Протестное мероприятие собрало около тысячи человек Москва, 14 января - АиФ-Москва. Депутат Законодательного собрания Санкт-Петербурга от фракции ""Яблоко"" Борис Вишневский сообщил, что 13 января перед Исаакиевским собором был проведен митинг протеста против передачи собора Русской православной церкви, передает РБК. Сообщается, что мероприятие стало первым в серии протестных акций. Участниками мероприятия стали около тысячи человек. Кроме Вишневского, организаторами выступили депутаты заксобрания Максим Резник (Партия роста) и Алексей Ковалев (""Справедливая Россия""). Также депутат добавил, что в настоящее время готовится иск об оспаривании передачи собора, так как речь идет о грубых нарушениях закона ""О передаче религиозным организациям имущества религиозного назначения, находящегося в государственной или муниципальной собственности"". Ранее сообщалось, что собор будет передан в безвозмездное пользование РПЦ, по просьбе патриарха Кирилла. Две тысячи человек выступили против передачи Исаакиевского собора РПЦ. Ранее РПЦ уже отказывали в просьбе передать собор. Ivan Smelov http://www.aif.ru/society/oppoziciya_provela_miting_protiv_peredachi_isaakievskogo_sobora_rpc"
3,Власти Петербурга согласились передать РПЦ Исаакиевский собор.," Google Новости ТОП, Москва, 14 января 2017 АКЦИЯ ПРОТИВ ПЕРЕДАЧИ ИСААКИЕВСКОГО СОБОРА РПЦ ПРОШЛА БЕЗ НАРУШЕНИЙ Москва. 13 января. INTERFAX.RU - Акция противников передачи Исаакиевского собора Русской православной церкви прошла без нарушений, сообщили ""Интерфаксу"" в пятницу в пресс-службе управления МВД по Санкт-Петербургу и Ленинградской области. ""Общественная акция рядом... http://www.interfax.ru/russia/545283#googletop"
4,Власти Петербурга согласились передать РПЦ Исаакиевский собор.," Газета.Ru, Москва, 13 января 2017 В МОСКОВСКОЙ ПАТРИАРХИИ ПРОКОММЕНТИРОВАЛИ ПЕРЕДАЧУ ИСААКИЕВСКОГО СОБОРА РПЦ Руководитель юридической службы Московской Патриархии игумения Ксения Чернега прокомментировала сообщения о том, что Исаакиевский собор в Санкт-Петербурге планируется передать РПЦ, передает ФАН. ""У нас есть многолетний опыт воссоздания храмов - ведь процесс начался в 90-е годы прошлого века и храмы нам передавали в плачевном состоянии - иногда только фундаменты и стены, причем происходило это не только в регионах, но и в крупных городах. Тем не менее, церковь смогла восстановить их, возродить богослужебную жизнь в этих объектах и поддерживать их в надлежащем состоянии. Государство частично участвовало в этом процессе, но 2/3 объектов церковь восстановила сама. Я думаю, вопрос о содержании Исаакия несколько надуманный, поскольку храм находится, в целом, в удовлетворительном состоянии"", - сказала она. Исаакиевский собор планируют передать РПЦ до конца 2017 года. https://www.gazeta.ru/culture/news/2017/01/12/n_9554201.shtml"
5,Власти Петербурга согласились передать РПЦ Исаакиевский собор.," Top Real Estate (topre.ru), Москва, 13 января 2017 ПЕТЕРБУРЖЦЫ ПРОТЕСТУЮТ ПРОТИВ ПЕРЕДАЧИ ЦЕРКВИ ИСААКИЕВСКОГО ХРАМА С вечера вторника по утро среды петицию против передачи Исаакиевского храма в северной столице Русской православной церкви подписали не менее 2-х тыс. человек, докладывают Рамблер/новости ссылаясь на change.org. Если бы там не было служб, это одно дело. ""Однако службы и так ведутся, не думаю, что нужны какие-то остальные меры"", - объявил депутат. Авторы петиции, расположенной на сайте Change.org, обращаются к Георгию Полтавченко и Владимиру Путину с просьбой остановить передачу храма. Основная мысль, которую петербуржцы хотят донести, касается того, что передача этих монументов ограничит открытый доступ жителей и туристов к посещению данных храмов. Всего необходимо собрать 200 000 подписей. 13 января противники передачи Исаакиевского собора церкви проведут протестную акцию на ступенях храма, которое пройдет в формате встречи с депутатами. 10 января губернатор Санкт-Петербурга Георгий Полтавченко проинформировал о решении передать Исакиевский храм в использование Русской православной церкви при сохранении в нем музея. Петиция против передачи Исаакиевского собора РПЦ за ночь набрала более 2 тысяч голосов http://topre.ru/2017/01/13/peterburzhci-protestuyut-protiv-peredachi-cerkvi.html"
6,Власти Петербурга согласились передать РПЦ Исаакиевский собор.," Findnews.ru, Москва, 13 января 2017 ПОЛИЦИЯ НАСЧИТАЛА 200 УЧАСТНИКОВ АКЦИИ ПРОТИВ ПЕРЕДАЧИ ИСААКИЕВСКОГО СОБОРА РПЦ В ПЕТЕРБУРГЕ 13 января 2017, 22:46 В© Фото ИА ""Росбалт"", Софья Мохова Около двухсот человек приняли участие в акции противников передачи Исаакиевского собора Русской православной церкви, прошедшей в центре Петербурга, сообщил корреспонденту ""Росбалта"" источник в правоохранительных органах Северной столицы. ""Нарушений общественного порядка на акции не допущено"", - добавил он. Народный сход против решения губернатора Петербурга Георгия Полтавченко о передаче Исаакиевского собора РПЦ прошел вечером в пятницу на Исаакиевской площади. В акции приняли участие депутаты городского парламента Алексей Ковалев, Борис Вишневский и Максим Резник, которые в течение двух часов отвечали на вопросы петербуржцев. Ранее сообщалось, что Московский патриархат РПЦ получит Исаакиевский собор в безвозмездное пользование на 49 лет. http://findnews.ru/policiya_naschitala_200_uchastnikov_akcii_protiv_peredachi_isaakievskogo_sobora_rpc_v_peterburge.html"
7,Власти Петербурга согласились передать РПЦ Исаакиевский собор.," ПРАВДА.info (pravda.info), Москва, 13 января 2017 ЛЕНИНГРАДЦЫ СОБРАЛИСЬ У ИСААКИЯ, КОТОРЫЙ ГОСУДАРСТВО ХОЧЕТ ОТДАТЬ ПОПАМ На Исаакиевской площади прошел народный сход против передачи Исаакиевского собора в ведение Русской православной церкви. На акции присутствовали также депутаты Законодательного собрания Петербурга Максим Резник, Борис Вишневский и Алексей Ковалев. ""Мероприятие было проведено в виде встречи депутатов с избирателями. Всего собралось около 800-1000 петербуржцев. На встрече не было ни плакатов, ни лозунгов, это было просто живое общение неравнодушных жителей Петербурга. Был представлен коллективный депутатский запрос с просьбой отменить постановление о передаче собора в ведение РПЦ"", - сообщил ""ДП"" депутат ЗС Борис Вишневский. Также он сообщил, что на встрече была подписана официальная заявка о проведении митинга против передачи Исаакиевского собора РПЦ. Митинг состоится 28 января на Марсовом поле. Алексей Ковалев в своей речи напомнил собравшимся петербуржцам, что Исаакиевский собор никогда не принадлежал церкви. Также он обвинил Русскую православную церковь в ""раскалывании общества"" и заявил о необходимости отправить в отставку тех, кто ответственен за принятие решения передать собор в ведение РПЦ. Многие жители Петербурга выступили против решения передать собор в ведение церкви. Петиция, адресованная губернатору Георгию Полтавченко, набрала сейчас свыше 169 тыс. подписей. Напомним, Смольный опубликовал распоряжение о передаче Исаакиевского собора Московскому патриархату РПЦ. Из документа, размещенного на сайте комитета имущественных отношений, следует, что на передачу собора в безвозмездное управление церкви уйдет два года. Однако появление официального документа не внесло особой ясности в ситуацию. Что будет с музейной коллекцией? Неужели придется уволить работников учреждения? Кто будет платить за содерждание собора и как будут распределяться деньги, собранные с посетителей? Эти и другие вопросы остаются без ответа, говорят участники пресс-конференции ""Росбалта"". Директор государственного музея-памятника ""Исаакиевский собор"" Николай Буров не считает целесообразной передачу объекта церкви. ""Меня, конечно, можно уволить по статье ""профнепригодность"". Я должен был заниматься развитием музея, а потерпел фиаско, - пошутил Буров. - Я не знаю, как будет называться музей, не знаю, кто будет заниматься этим разрушенным и разукрупленным хозяйством"". Директор напомнил, что он принял музей с годовым доходом в 360 млн рублей, а оставляет с доходом в 800 млн рублей. Посещаемость же музея выросла с 2,6 млн до 3,8 млн посетителей в год. Открытые данные свидетельствуют, что музей в предыдущие годы действительно самостоятельно зарабатывал деньги. Так, согласно официальной информации, в 2015 году доход музея от продажи билетов составил 805,8 млн рублей. Еще 16,8 млн рублей учреждение получило в виде субсидий. Итого денежные поступления музея достигли 822,7 млн рублей. При этом расходы (оплата труда сотрудников, транспортные, коммунальные услуги и прочее) составили 554,1 млн рублей. Таким образом, с учетом вычета расходов прибыль организации достигла 268,6 млн рублей. 2014 год музей тоже завершил с плюсом. По официальным данным, в 2014 году общая сумма кассовых поступлений музея с учетом субсидий составила 646,6 млн рублей, а общие расходы - 506 млн рублей. Прибыль по итогам 2014 года - 140,6 млн рублей. Вице-губернатор Северной столицы Михаил Мокрецов, заявлял, что Исаакиевский собор не изменит свой статус, храм останется в собственности Петербурга, то есть будет находиться на балансе города. Вероятно, это означает, что после передачи собора церкви платить за его содержание и реставрацию придется городу. Впрочем, на вчерашней пресс-конференции руководитель комиссии по взаимодействию РПЦ с музейным сообществом, епископ Егорьевский Тихон говорил, что текущие реставрационные работы и обслуживание Исаакиевского собора будут осуществляться за счет средств местной православной общины. Но РПЦ будет рассчитывать на помощь государства в случае проведения в соборе ""глобальных"" реставрационных работ. Что такое ""глобальные"" работы, осталось неясным. Шла речь и о том, что церковь может попросить субсидии из федерального бюджета. Но Минкульт пояснил, что это невозможно - здание давно на балансе города. Николай Буров признался, что не беспокоится за свою дальнейшую судьбу. Все-таки он является профессором двух университетов, умеет выступать на театральных подмостках да и вообще уже 10 лет как получает от государства пенсию. Что его действительно беспокоит, так это судьба 400 работников учреждения и вопрос сохранности музейных коллекций. К примеру, в подвалах собора находятся уникальные ""блокадные экспозиции"", которые просто невозможно куда-либо вынести. Депутат Законодательного собрания Алексей Ковалев обратил внимание журналистов на то, что непонятно, как РПЦ будет получать доходы от музейной деятельности. Ведь, согласно закону о возвращении имущества религиозным организациям, церковь должна использовать объект в соответствии со своим уставом. Парламентарий сомневается, что в уставе РПЦ есть слова о коммерческой деятельности, связанной с организацией экскурсий. Ленинградцы собрались у Исаакия, который государство хочет отдать попам http://www.pravda.info/protest/151459.html"
8,Власти Петербурга согласились передать РПЦ Исаакиевский собор.," Голос Америки (golos-ameriki.ru), Москва, 13 января 2017 ЧТО БУДЕТ С ИСААКИЕВСКИМ СОБОРОМ? Автор: Плотникова Анна Историки, музейные работники и гражданские активисты против передачи В Санкт-Петербурге обостряется ситуация вокруг возможной передачи Исаакиевского собора Русской православной церкви. В самом конце декабря появилась неофициальная информация о том, что губернатор Георгий Полтавченко подготовил соответствующее распоряжение, которое будет оглашено сразу после праздников. 10 января градоначальник заявил: ""вопрос решен"", добавив при этом: ""По договоренности между патриархом и мною собор сохранит музейно-просветительскую функцию. Как работал, так и будет работать"". Вопрос о передачи самого крупного в Санкт-Петербурге собора в собственность РПЦ возник не впервые. Гражданские активисты и представители оппозиционных фракций в Городском Законодательном собрании Санкт-Петербурга надеются, что и на этот раз им удастся отстоять Исаакиевский собор от передачи РПЦ. Тем более, что, как отметил в своем FB лидер фракции ""Яблоко"" Борис Вишневский, в данном случае для реституции нет никаких правовых оснований: ""Статья 11 федерального закона 327-ФЗ о передаче имущества религиозным организациям. Уполномоченный орган обязан разместить на своем официальном сайте в сети Интернет принятое к рассмотрению заявление религиозной организации в недельный срок со дня принятия этого заявления к рассмотрению. Ничего в Интернете нет... Значит, никакого официального заявления религиозной организации не существует. И не может быть никакого решения по нему"", - считает депутат. Вопрос - не политический, а ""сугубо финансовый"" Коллега Вишневского по городскому парламенту, депутат от фракции ""Партия роста"", председатель комиссии по образованию, культуре и науке Максим Резник в комментарии для ""Голоса Америки"" сказал: ""У нас всех на памяти прекрасный пример с Охта-центром, когда, по мнению многих, ситуация тоже была абсолютно безнадежной, и тем не менее, она разрешилась в интересах города. И я думаю, что это может быть символом того, что наши усилия не напрасны. В любом случае, нужно действовать, и тогда на вопрос, ""а что ты сделал, чтобы этого не произошло?"", каждый из нас сможет ответить: ""я сделал все, что мог"""". При этом Резник подчеркивает, что вопрос о принадлежности Исаакиевского собора - не политический и никак не связан с отношением того или иного горожанина к властям, к статусу Крыма, войне в Сирии и другим знакомым событиям. ""И если все петербуржцы, несмотря на возможные разногласия по другим вопросам, в той или иной форме заявят свою позицию по Исаакию, я уверен, что мы сможем его отстоять"", - считает политик. Максим Резник добавил, что собор приносит городу значительный доход именно в качестве одного из самых посещаемых туристических объектов. Лишь в прошлом году здесь побывали 3,9 млн российских и зарубежных туристов. ""И это лишний раз подтверждает тот тезис, что ситуация развивается не в правовой плоскости и не в религиозной. Этот вопрос - сугубо финансовый. И сегодня те, кто выступает за передачу собора от города к одной из религиозных конфессий, озабочены исключительно стяжательством"", - считает председатель комиссии по образованию, культуре и науке Городского Законодательного собрания Санкт-Петербурга Максим Резник. От серебряных рублей к ""деревянным"" Директор государственного бюджетного учреждения культуры ""Государственный музей-памятник ""Исаакиевский собор"""", народный артист Российской Федерации Николай Буров сообщил, что на реставрацию храма ежегодно затрачивалось не менее 100 миллионов рублей. ""Мы сейчас повторяем реставрационные работы, проведенные в послевоенное время, и гарантия сейчас будет на значительно более время, чем давалась нашими предшественниками"", - отметил Буров в беседе с корреспондентом ""Голоса Америки"". В целом же, собор тратит на восстановительные работы не менее половины своего бюджета. А бюджет год от года значительно меняется. Директор музея памятника свидетельствует: ""В 2004 году наш бюджет составлял 190 миллионов рублей, в 2008-м - 360 миллионов. Не увеличивая цену на билеты в течение последних семи лет, мы в прошлом году все-таки умудрились собрать бюджет под 800 миллионов рублей"", - рассказывает Николай Буров. При этом он отмечает интересное совпадение: только на новую систему подсветки Исаакиевского собора в 2016 году было потрачено 26 миллионов рублей - ровно столько же, сколько в XIX веке было потрачено на его строительство. Разница лишь в том, - напоминает директор музея-памятника, что царские рубли были серебряными, а нынешние принято называть ""деревянными"". На вопрос о количестве прихожан Исаакиевского собора Николая Буров ответил: ""Ну, судя по тому, как приходят (на службы) - от сорока до восьмидесяти человек. Это сегодня, раньше было меньше, сейчас - больше. Это растущий приход, наверно, когда-нибудь он будет еще больше, но сейчас он меньше приходов многих других старых храмов"". Собеседник ""Голоса Америки"" также отметил, что никаких пожертвований на собор со стороны РПЦ никогда не было. ""Мы бы никогда и не взяли такие пожертвования. И до сегодняшнего дня мы являемся, скорее, благотворителями. Мы помогаем приходу, поддерживаем приход, не заикаясь ни о каком возмещении. Хотя, в принципе, меня можно привлечь за это к ответственности, потому что я, с точки зрения существующего закона, нарушаю какие-то правила. Но мы считаем, что должны шефствовать над нашими приходами. Мы всегда бесплатно принимаем паломнические группы, организуем для них экскурсоводов. Потому что эти люди - не праздные туристы, они едут прикоснуться к храму, который когда-то был главным в Российской империи"", - подчеркивает Николай Буров. ""Ничто не мешает назвать Исаакиевский собор действующим храмом"" Противники передачи Исаакиевского собора Русской православной церкви напоминают, что даже в дореволюционные времена он не принадлежал РПЦ. Директор Санкт-Петербургского института истории Российской академии наук Николай Смирнов отмечает, что в этом заключалась государственная политика того времени. ""То, что Исаакиевский собор находился в ведении Министерства внутренних дел, тогда никого не удивляло,- напоминает Смирнов. И продолжает, - правда сама Русская православная церковь говорит о том, что в условиях, когда церковь и государство не были разделены, было все равно, по какому ведомству проходит то или иное сооружение"". Однако историк полагает, что в таком утверждении больше лукавства, чем истины. Подчеркивая, что высказывает свою личную точку зрения, Николай Смирнов в разговоре с корреспондентом ""Голоса Америки"" сказал, что никакой целесообразности с точки зрения культуры, в передаче Исаакиевского собора РПЦ нет. ""Здесь есть интерес Русской православной церкви получить в свои руки еще одно сооружение, которое будет приносить ей прибыль. Я не удивляюсь, что в тех условиях, в которых мы сегодня существуем, подобная мысль в головах иерархов РПЦ присутствует"", - отмечает эксперт. Кстати, помимо дохода непосредственно от использования собора церковь заявила, что хотела бы получать еще и субсидии от города. ""Меня это тоже не удивляет"", - говорит Николай Смирнов. - В условиях, когда власть позволяет церкви делать больше того, что она может, подобные явления вполне закономерны"". При этом директор Санкт-Петербургского института истории подчеркивает, что Исаакиевский собор всегда являлся не только культовым сооружением, но был и остается памятником культуры и архитектуры. ""До революции Исаакий был приходским храмом, и ничто не мешает назвать его действующим храмом. Насколько я знаю, службы там ведутся ежедневно, и никого это не смущает. Но для меня крайне непонятна ситуация, при которой служители церкви заявляют о том, что им неприятно, когда во время ведения службы они видят расхаживающего по залу служителя музея. Что поделать - надо научиться не обращать на это внимания. Церковь выполняет свою функцию, а служитель музея - свою"", - советует ученый-историк. На вечер пятницы 13 января у ступеней Исаакиевского собора намечен народный сход, участники которого будут выражать протест против передачи собора Русской православной церкви. Упомянув об этом факте, Николай Смирнов отметил, что, по его мнению, данный вопрос должен решаться не путем уличных акций, а в ходе переговоров между представителями РПЦ и городских властей. ""Мы живем в светском государстве, и здесь такой диалог вполне возможен. А ситуация, когда вопросы решаются по принципу: ""мне это нравится, отдайте это мне"", по-моему, не нормальна "", - считает он. Между тем, есть сведения, что Московской патриархии может быть передан и храм Спаса-на-Крови, который сейчас юридически входит в комплекс ГМП ""Исаакиевский собор"". Об этом, в частности, обмолвился Николай Буров. Кстати, на вопрос ""Голоса Америки"", планирует ли он оставаться директором комплекса после передачи Исаакиевского собора Русской православной церкви, Буров уклончиво заметил: ""Я собираюсь пожить еще немножко на этом свете. Отвечу так и поставлю многоточие..."". http://www.golos-ameriki.ru/a/ap-on-st-isaak/3675018.html"
