customer_id,age,tenure_months,risk_profile,home_country,tx_id,tx_datetime,channel,mcc,country,amount,device_trust_score,distance_km,attempts_1h,is_night,is_weekend,is_international,avg_amount_7d,std_amount_7d,ratio_to_avg,prev_fraud_30d,fraud
C00851,47,113,low,RU,3e74b0cd-1491-40f4-a3c6-47378ff63a2a,2025-07-01T11:29,atm,food,RU,4202.12,0.92,7.41,0,0,0,0,1429.55,572.59,2.939,0,0
C01754,20,84,mid,RU,cb40cb78-ede3-4794-9e84-b1a5ac677eb5,2025-07-09T19:23,pos,cash_withdrawal,US,6347.43,0.767,2.82,0,0,0,1,3909.68,1123.68,1.624,0,0
C00631,67,76,low,RU,264a33d9-51c1-4a52-a25a-7ac65fe033a3,2025-06-15T10:53,pos,apparel,RU,1960.5,0.967,13.87,0,0,1,0,2162.65,536.39,0.907,0,0
C02354,42,58,mid,RU,4d342736-4324-4d8b-9396-bf6a35f0d3cc,2025-06-30T13:39,pos,food,TR,2643.31,0.896,2.24,1,0,0,1,3599.23,953.14,0.734,0,0
C02027,57,90,low,DE,d2d0c230-9f71-4912-b37c-302919c538dc,2025-06-13T16:50,pos,digital_goods,RU,1896.7,0.875,6.62,0,0,0,1,1982.07,438.05,0.957,0,0
C01324,52,82,mid,CN,a357e714-dae5-46e9-a778-66b374a6c110,2025-07-02T00:00,pos,apparel,KZ,2795.98,0.973,1.44,0,1,0,1,3199.53,1152.59,0.874,1,0
C02298,41,93,low,RU,73c6169b-4ca6-4c0c-b2fd-2e4bd7dfd98c,2025-06-02T19:21,pos,food,RU,331.68,0.906,0.81,0,0,0,0,1723.82,482.19,0.192,0,0
C01410,25,74,low,CN,b83f2147-169a-4105-aff8-68bf07977bd1,2025-07-07T22:44,p2p,apparel,RU,6844.11,0.265,5.65,0,0,0,1,2334.09,152.53,2.932,0,0
C02423,20,58,low,RU,1fca454e-b170-46aa-9b84-42db29198a15,2025-06-16T10:21,pos,travel,RU,4664.43,0.951,1.69,0,0,0,0,1551.77,118.09,3.006,0,0
C00442,46,47,low,DE,5a2f2197-094c-409c-acf6-30c6979d128f,2025-06-30T22:17,ecom,food,RU,711.46,0.0,0.88,1,0,0,1,2245.47,381.76,0.317,0,0
C00775,19,35,mid,RU,49f0a79d-b47c-4db5-8c49-182d28aa8438,2025-06-11T20:23,atm,fuel,TR,6798.37,0.973,10.28,0,0,0,1,3623.66,1430.83,1.876,0,0
C00693,73,36,low,US,5cb094af-9026-43a1-87b8-a76b144194d0,2025-06-03T18:58,atm,digital_goods,KZ,9721.73,0.908,2.41,1,0,0,1,1289.55,401.09,7.539,0,0
C01034,78,39,low,RU,eacee2a1-41ad-4ec2-b4eb-4d6c29459d5d,2025-06-21T05:14,atm,cash_withdrawal,DE,8656.26,0.73,2.61,0,1,1,1,3565.57,529.12,2.428,0,0
C01097,21,109,low,RU,abdd0610-6eeb-42fc-a6e1-fa34a53143c1,2025-06-24T20:41,pos,apparel,RU,1163.29,0.879,4.11,0,0,0,0,2643.75,419.97,0.44,0,0
C01770,75,56,low,RU,845809b4-6d55-4ee7-80fe-ccef8d263c6e,2025-06-19T15:55,ecom,food,RU,2396.98,0.891,9.01,0,0,0,0,1701.03,323.83,1.409,0,0
C00905,20,11,mid,DE,f4ab3ae6-9917-48c6-a06e-906190919a76,2025-06-02T18:07,ecom,fuel,US,2261.58,0.847,14.1,0,0,0,1,3682.51,955.34,0.614,0,0
C00842,58,66,low,RU,e375296e-a084-4ee3-9eba-3f6ba53e50f9,2025-06-19T10:49,pos,travel,TR,2129.5,0.906,11.43,0,0,0,1,2363.54,323.75,0.901,0,0
C00720,53,118,low,RU,40a21b19-b3a2-4330-98a8-90529dd8d51b,2025-06-25T05:36,p2p,food,KZ,3596.45,0.976,7.64,0,1,0,1,1469.01,282.83,2.448,0,0
C01594,76,85,low,RU,86cfb2ff-fafd-48df-bad4-b09bade6c47e,2025-06-22T07:20,pos,cash_withdrawal,RU,2255.94,0.83,12.58,1,0,1,0,2103.75,486.57,1.072,0,0
C00431,40,19,low,DE,d906d804-b671-4c0d-afeb-e9501d63e9ec,2025-06-27T23:21,pos,digital_goods,RU,271.21,0.953,11.07,0,1,0,1,2273.31,442.94,0.119,0,0
C02265,21,33,low,US,0cdd10e5-4613-475e-9c54-cac3d097b7d4,2025-06-24T22:02,ecom,ride_hailing,RU,11605.98,0.882,0.62,0,0,0,1,1389.43,154.08,8.353,0,0
C02122,26,3,mid,RU,1dbf0411-81cf-43e9-b2f1-0eab621fa0a0,2025-06-20T21:18,ecom,travel,RU,3140.34,0.978,3.24,0,0,0,0,5154.34,1190.16,0.609,0,0
C00032,32,23,low,RU,65eec1a9-48bc-475a-96e8-66426f4a0413,2025-07-01T16:15,atm,apparel,RU,7262.98,0.892,8.88,0,0,0,0,737.81,803.62,9.844,0,0
C00716,66,93,low,RU,01a1d171-59ca-4563-a5a7-724e957a2fb3,2025-06-23T00:48,ecom,food,RU,2511.18,0.903,8.77,0,1,0,0,2219.44,285.15,1.131,0,0
C01015,78,27,low,RU,3530e0bd-a582-4129-bd71-1d74cf8ba8a2,2025-06-30T04:09,pos,apparel,RU,1602.19,0.917,5.21,1,1,0,0,1985.11,183.97,0.807,0,0
C02354,42,58,mid,RU,d9701736-90e3-4010-9304-63d80a212c11,2025-07-07T09:13,pos,cash_withdrawal,RU,2706.12,0.927,7.14,0,0,0,0,4271.66,1040.56,0.634,0,0
C02294,21,107,low,RU,af703e0d-8663-4cdf-8789-d75bbea6da58,2025-07-08T02:05,atm,apparel,RU,10896.35,0.891,39.03,0,1,0,0,1661.0,370.27,6.56,0,0
C00142,43,96,mid,RU,22ac651a-1da6-4db2-b533-8e54a296188d,2025-06-19T09:47,pos,travel,RU,2781.08,0.167,10.49,0,0,0,0,3619.69,1110.31,0.768,0,0
C02258,22,72,low,US,aa7d1040-8d3a-44b5-909e-909453aea6ee,2025-06-12T05:23,pos,fuel,DE,1885.27,0.925,9.25,1,1,0,1,1582.29,573.34,1.191,0,1
C00057,23,64,low,RU,8a57191d-4293-4e7b-82f0-462130827404,2025-06-12T10:56,pos,electronics,RU,737.6,0.884,0.91,1,0,0,0,2063.59,840.25,0.357,0,0
C01891,33,29,mid,US,0b3bf8d3-e445-499a-b644-95bc045b1f77,2025-07-12T16:34,pos,food,RU,1076.4,0.025,1.95,0,0,1,1,4066.93,1071.72,0.265,1,0
C00901,69,104,low,KZ,5ea0990f-6753-44b9-b71d-6565a029a852,2025-06-05T19:36,pos,ride_hailing,RU,1897.73,0.336,1.22,0,0,0,1,2381.29,172.31,0.797,0,0
C00934,72,65,low,RU,da936180-5f27-4f4b-be3d-afc124804199,2025-06-13T09:32,p2p,food,RU,1326.71,1.0,16.8,1,0,0,0,1831.26,156.56,0.724,0,0
C01857,28,71,low,RU,9d49fa82-7da3-49d7-84ad-15c03a817c7e,2025-06-11T22:02,pos,digital_goods,DE,2703.03,0.955,19.7,0,0,0,1,3553.94,576.61,0.761,0,0
C00429,42,91,high,KZ,961900a5-3aef-4c23-9a31-da756cf85705,2025-06-18T06:02,pos,fuel,DE,2567.31,0.812,5.83,0,0,0,1,6420.63,2033.99,0.4,0,0
C00735,58,38,low,RU,45909991-3afc-4e27-a22c-b06ece287f22,2025-07-13T10:05,atm,ride_hailing,RU,4703.32,0.241,8.13,1,0,1,0,3234.76,374.99,1.454,0,0
C02454,25,12,mid,RU,09414e1e-5967-4152-b00b-5c27f0f4d3ba,2025-06-20T14:09,ecom,apparel,KZ,2782.1,0.172,3.21,1,0,0,1,4684.19,1125.19,0.594,0,0
C02135,66,113,mid,DE,58a7956d-6470-471c-8b66-bbede288599f,2025-06-12T23:34,pos,fuel,RU,729.98,0.937,0.25,0,1,0,1,3970.35,1427.33,0.184,0,1
C02142,49,45,low,RU,a6ea5c3a-6984-47b1-a2fe-e2982b6c6ab6,2025-07-08T13:54,pos,apparel,RU,2308.44,0.98,8.35,0,0,0,0,2134.26,741.79,1.082,0,0
C01481,31,56,low,RU,53530b5e-143b-4bef-8d52-5c4b91081465,2025-06-02T12:45,p2p,food,RU,7916.65,0.948,2.83,0,0,0,0,1413.74,330.11,5.6,0,0
C02097,54,17,low,RU,ac7df019-ebca-41f1-912e-100645533159,2025-06-21T17:01,pos,travel,RU,865.02,0.751,6.3,0,0,1,0,1986.61,350.96,0.435,0,0
C02125,41,57,low,KZ,58a8d685-fa42-4bf5-aae5-220b63e3325c,2025-06-09T07:05,ecom,fuel,RU,1484.92,0.825,2.24,0,0,0,1,1911.15,607.65,0.777,0,0
C01088,33,30,low,RU,fa50c1ab-6dbe-4f49-8c53-042185382109,2025-06-07T07:42,pos,travel,DE,2221.26,0.735,6.85,2,0,1,1,1407.25,441.67,1.578,0,1
C00643,40,114,low,RU,24aec44f-4b7f-4b62-bf40-f449a238d2ca,2025-07-13T01:58,pos,cash_withdrawal,RU,4394.91,0.845,4.8,0,1,1,0,2193.43,387.53,2.004,0,0
C01185,77,68,low,RU,e72db0e0-771b-4d14-985d-76179efcebc6,2025-06-05T17:09,pos,ride_hailing,RU,2984.64,0.952,10.27,0,0,0,0,2320.92,269.48,1.286,0,0
C00602,56,47,low,RU,53b8c9ef-7293-4389-92da-a5635e67de82,2025-06-19T06:42,ecom,apparel,KZ,3539.27,0.966,4.28,2,0,0,1,2448.59,542.67,1.445,0,0
C00585,68,30,low,RU,e66f67cc-4b52-4f5c-a68e-fa39a5b6d6be,2025-07-10T03:11,p2p,travel,RU,8635.23,0.937,23.65,0,1,0,0,1901.62,472.69,4.541,0,0
C00101,74,36,low,RU,45b21eb0-e306-4558-9440-ecd851c86bf9,2025-07-10T22:28,pos,food,RU,3304.63,0.997,6.98,0,0,0,0,1716.67,345.04,1.925,0,0
C01654,60,20,low,CN,71847e93-4cc6-4dfb-9ba8-bb4b20bf1fec,2025-06-15T20:36,pos,digital_goods,DE,2402.36,0.917,2.33,0,0,1,1,1287.65,227.13,1.866,0,0
C02194,71,51,low,RU,f49b4d3d-61f0-4cd2-8713-1193d836063d,2025-07-04T20:26,ecom,food,RU,7246.4,0.85,25.33,0,0,0,0,1196.81,398.24,6.055,0,0
C00916,54,20,low,RU,9d5ae0c8-b86c-46c4-a0e6-7c18e41176da,2025-06-02T20:11,p2p,ride_hailing,DE,5093.8,0.838,13.93,0,0,0,1,3578.37,147.38,1.423,0,0
C00599,47,56,high,CN,27183358-797b-43f6-87ff-e5805418aaea,2025-06-06T08:02,pos,ride_hailing,DE,2058.32,0.258,1.36,0,0,0,1,6659.88,2476.72,0.309,0,0
C00992,50,118,low,CN,d23add4b-4024-449f-a965-39ced2205612,2025-06-24T07:45,ecom,apparel,RU,4143.58,0.944,4.96,0,0,0,1,1646.97,602.38,2.516,0,0
C01267,58,11,low,RU,095bc7b6-dce8-4e63-a1e9-0c79fe4afbae,2025-07-03T00:40,pos,cash_withdrawal,RU,11099.37,0.87,16.17,1,1,0,0,1359.79,706.22,8.163,0,0
C01778,50,109,low,RU,0f824de7-bdc3-4a58-9094-7c3fc0ed2a5f,2025-07-12T23:04,ecom,food,RU,4216.07,0.16,10.19,3,1,1,0,2024.49,307.24,2.083,0,0
C02433,31,57,low,RU,008abac2-9742-4974-ada4-dd02db68c494,2025-07-03T11:33,pos,fuel,RU,823.36,1.0,0.11,1,0,0,0,1879.26,523.76,0.438,0,0
C01346,78,78,low,RU,9a1b0e81-0401-48cb-929b-9e3c9606ebc6,2025-06-24T17:23,ecom,food,RU,8053.43,0.982,3.2,1,0,0,0,2071.79,388.49,3.887,0,0
C01474,28,58,low,RU,68dc673d-dc93-4bf7-8c55-ad7141e82d21,2025-07-15T14:17,pos,cash_withdrawal,RU,27512.01,0.914,3.38,1,0,0,0,2791.23,238.41,9.857,0,0
C02125,41,57,low,KZ,8a3f3ebd-1363-41b9-9715-9838f1874788,2025-06-22T08:10,ecom,food,KZ,1047.62,0.79,0.02,0,0,1,0,2408.2,329.49,0.435,0,0
C00800,46,39,low,RU,9b73f475-7037-4d3e-8639-b4f15f8abb81,2025-07-09T02:46,atm,travel,RU,7860.75,0.784,1.03,1,1,0,0,1878.19,539.47,4.185,0,0
C02209,39,71,low,RU,091d9aa0-0180-48db-9578-609d37f53608,2025-06-03T17:09,pos,cash_withdrawal,CN,4184.95,0.884,5.92,0,0,0,1,3618.84,231.95,1.156,0,0
C02120,70,82,low,DE,1b580656-571d-45cd-a715-6fe5312bb968,2025-06-07T13:09,pos,ride_hailing,TR,3573.66,0.996,18.1,0,0,1,1,2817.99,191.7,1.268,0,0
C00938,69,78,low,RU,f8ae6072-7a0b-404f-ad1b-91345f4c02c2,2025-06-30T06:45,ecom,digital_goods,TR,3128.64,0.884,5.29,0,0,0,1,1076.72,385.75,2.906,0,0
C01643,34,24,low,RU,eb876f65-9b4c-418d-9bc8-4dd4f9bd89e8,2025-06-05T02:50,pos,ride_hailing,KZ,1946.53,0.277,11.4,0,1,0,1,1638.55,419.08,1.188,0,0
C01018,37,41,low,RU,b6e34605-3508-43c3-9a93-03cbdb31cdd8,2025-06-01T21:09,pos,apparel,DE,1490.83,0.941,5.25,0,0,1,1,1312.28,307.66,1.136,0,0
C00469,51,48,low,RU,688fc49b-98d6-4e47-b693-c3bc6792f8a2,2025-06-12T06:28,pos,food,CN,3246.98,0.904,6.91,0,0,0,1,3293.37,524.76,0.986,0,0
C01696,20,77,low,RU,96a2cdc3-a21e-4663-9814-78014009b6a3,2025-06-07T02:29,ecom,food,TR,5793.34,0.897,0.33,0,1,1,1,2397.23,352.27,2.417,0,0
